,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
120,1986-12-18,23.0,W,15.0,27.0,0.556,0.0,0.0,11.0,12.0,3.0,6.0,0.0,1.0,2.0,41.0,31.5
121,1986-12-20,23.0,L,10.0,26.0,0.385,0.0,0.0,7.0,8.0,4.0,7.0,2.0,4.0,5.0,27.0,17.1
122,1986-12-23,23.0,W,18.0,33.0,0.545,0.0,1.0,7.0,7.0,5.0,6.0,2.0,0.0,3.0,43.0,32.6
123,1986-12-25,23.0,L,10.0,28.0,0.35700000000000004,0.0,0.0,10.0,12.0,3.0,5.0,6.0,2.0,6.0,30.0,19.4
124,1986-12-27,23.0,W,20.0,29.0,0.69,0.0,0.0,4.0,4.0,4.0,3.0,0.0,2.0,4.0,44.0,32.8
125,1986-12-30,23.0,L,12.0,27.0,0.444,2.0,3.0,5.0,7.0,5.0,3.0,4.0,0.0,2.0,31.0,20.5
126,1987-01-02,23.0,L,13.0,31.0,0.419,0.0,1.0,8.0,10.0,8.0,3.0,1.0,0.0,2.0,34.0,21.8
127,1987-01-03,23.0,W,16.0,35.0,0.457,0.0,2.0,15.0,17.0,4.0,2.0,1.0,0.0,1.0,47.0,29.5
128,1987-01-06,23.0,W,13.0,23.0,0.565,0.0,0.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,27.0,15.0
129,1987-01-08,23.0,W,20.0,34.0,0.588,0.0,0.0,13.0,16.0,4.0,5.0,3.0,2.0,3.0,53.0,42.1
130,1987-01-10,23.0,W,8.0,24.0,0.33299999999999996,0.0,0.0,15.0,15.0,7.0,5.0,2.0,1.0,4.0,31.0,20.9
131,1987-01-15,23.0,L,17.0,43.0,0.395,1.0,4.0,8.0,9.0,3.0,3.0,2.0,1.0,2.0,43.0,22.6
132,1987-01-17,23.0,W,17.0,34.0,0.5,0.0,0.0,13.0,14.0,10.0,6.0,4.0,1.0,4.0,47.0,38.7
133,1987-01-19,23.0,L,11.0,25.0,0.44,1.0,1.0,9.0,11.0,6.0,3.0,0.0,0.0,5.0,32.0,16.6
134,1987-01-20,23.0,W,11.0,22.0,0.5,0.0,0.0,9.0,10.0,7.0,2.0,2.0,1.0,3.0,31.0,22.8
135,1987-01-23,23.0,W,14.0,28.0,0.5,1.0,1.0,6.0,6.0,2.0,2.0,3.0,0.0,3.0,35.0,23.0
136,1987-01-24,23.0,L,11.0,20.0,0.55,0.0,0.0,5.0,6.0,0.0,1.0,1.0,0.0,1.0,27.0,16.1
137,1987-01-27,23.0,L,13.0,34.0,0.382,0.0,2.0,4.0,6.0,5.0,6.0,2.0,0.0,5.0,30.0,12.9
138,1987-01-28,23.0,L,11.0,23.0,0.478,0.0,2.0,5.0,8.0,4.0,4.0,1.0,1.0,6.0,27.0,13.0
139,1987-01-30,23.0,L,19.0,35.0,0.5429999999999999,0.0,4.0,11.0,12.0,2.0,5.0,3.0,2.0,4.0,49.0,35.0
140,1987-02-01,23.0,L,14.0,39.0,0.359,1.0,5.0,9.0,9.0,5.0,5.0,5.0,0.0,2.0,38.0,23.9
141,1987-02-03,23.0,W,12.0,28.0,0.429,0.0,1.0,8.0,9.0,6.0,6.0,0.0,2.0,5.0,32.0,19.2
142,1987-02-05,23.0,L,12.0,24.0,0.5,0.0,0.0,12.0,13.0,7.0,5.0,2.0,2.0,3.0,36.0,29.6
143,1987-02-10,23.0,W,11.0,22.0,0.5,0.0,0.0,7.0,9.0,3.0,4.0,3.0,1.0,4.0,29.0,19.8
144,1987-02-13,23.0,W,14.0,28.0,0.5,0.0,0.0,17.0,19.0,3.0,6.0,2.0,2.0,1.0,45.0,36.5
145,1987-02-14,23.0,W,15.0,24.0,0.625,0.0,1.0,3.0,5.0,2.0,8.0,3.0,3.0,2.0,33.0,29.9
146,1987-02-16,23.0,L,13.0,30.0,0.433,0.0,1.0,17.0,18.0,7.0,6.0,5.0,4.0,7.0,43.0,32.3
147,1987-02-20,24.0,L,11.0,27.0,0.40700000000000003,0.0,0.0,11.0,12.0,2.0,5.0,5.0,2.0,2.0,33.0,25.8
148,1987-02-22,24.0,W,16.0,29.0,0.552,0.0,0.0,11.0,15.0,4.0,6.0,8.0,5.0,4.0,43.0,40.8
149,1987-02-24,24.0,W,10.0,22.0,0.455,0.0,0.0,14.0,18.0,12.0,2.0,5.0,5.0,2.0,34.0,32.5
150,1987-02-26,24.0,W,16.0,25.0,0.64,0.0,0.0,26.0,27.0,8.0,3.0,3.0,2.0,3.0,58.0,51.2
151,1987-02-28,24.0,W,11.0,28.0,0.39299999999999996,0.0,1.0,15.0,17.0,6.0,2.0,3.0,1.0,3.0,37.0,24.5
152,1987-03-01,24.0,L,10.0,23.0,0.435,0.0,1.0,10.0,12.0,4.0,4.0,3.0,2.0,7.0,30.0,18.1
153,1987-03-03,24.0,W,11.0,17.0,0.647,0.0,0.0,8.0,9.0,3.0,8.0,3.0,2.0,2.0,30.0,30.6
154,1987-03-04,24.0,W,22.0,39.0,0.564,0.0,0.0,17.0,18.0,7.0,3.0,3.0,3.0,5.0,61.0,47.6
155,1987-03-06,24.0,L,10.0,24.0,0.41700000000000004,0.0,0.0,7.0,9.0,8.0,5.0,8.0,3.0,4.0,27.0,25.8
156,1987-03-08,24.0,W,11.0,28.0,0.39299999999999996,0.0,1.0,11.0,12.0,6.0,4.0,5.0,3.0,1.0,33.0,28.5
