,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
119,2012-05-22,W,12.0,19.0,0.632,2.0,4.0,4.0,4.0,10.0,8.0,1.0,1.0,4.0,30.0,28.6,28.0
120,2012-05-24,W,12.0,23.0,0.522,0.0,3.0,4.0,5.0,6.0,7.0,3.0,0.0,1.0,28.0,25.0,16.0
122,2012-05-28,W,13.0,22.0,0.591,0.0,3.0,6.0,9.0,13.0,3.0,1.0,3.0,3.0,32.0,26.3,17.0
123,2012-05-30,W,7.0,20.0,0.35,2.0,6.0,18.0,24.0,10.0,7.0,1.0,1.0,1.0,34.0,29.8,10.0
124,2012-06-01,L,16.0,26.0,0.615,1.0,4.0,1.0,5.0,8.0,5.0,2.0,2.0,3.0,34.0,25.3,-6.0
125,2012-06-03,L,12.0,25.0,0.48,1.0,3.0,4.0,8.0,6.0,3.0,1.0,1.0,7.0,29.0,11.3,1.0
126,2012-06-05,L,11.0,25.0,0.44,2.0,6.0,6.0,8.0,13.0,2.0,2.0,1.0,3.0,30.0,21.9,0.0
127,2012-06-07,W,19.0,26.0,0.731,2.0,4.0,5.0,9.0,15.0,5.0,0.0,0.0,4.0,45.0,36.4,22.0
128,2012-06-09,W,9.0,21.0,0.429,1.0,5.0,12.0,17.0,12.0,2.0,1.0,1.0,3.0,31.0,22.4,13.0
130,2012-06-12,L,11.0,24.0,0.45799999999999996,1.0,3.0,7.0,9.0,9.0,4.0,4.0,0.0,4.0,30.0,22.3,-11.0
131,2012-06-14,W,10.0,22.0,0.455,0.0,2.0,12.0,12.0,8.0,5.0,1.0,0.0,2.0,32.0,24.7,6.0
132,2012-06-17,W,11.0,23.0,0.478,1.0,4.0,6.0,8.0,14.0,3.0,0.0,0.0,4.0,29.0,20.4,8.0
133,2012-06-19,W,10.0,20.0,0.5,1.0,4.0,5.0,8.0,9.0,12.0,2.0,0.0,3.0,26.0,25.3,8.0
134,2012-06-21,W,9.0,19.0,0.474,0.0,3.0,8.0,9.0,11.0,13.0,1.0,2.0,6.0,26.0,25.5,20.0
136,2013-04-21,W,9.0,11.0,0.818,1.0,2.0,8.0,11.0,10.0,8.0,0.0,0.0,5.0,27.0,25.3,14.0
137,2013-04-23,W,6.0,14.0,0.429,0.0,3.0,7.0,8.0,8.0,6.0,1.0,0.0,4.0,19.0,14.4,13.0
138,2013-04-25,W,9.0,14.0,0.643,2.0,4.0,2.0,4.0,5.0,6.0,0.0,0.0,5.0,22.0,14.9,14.0
139,2013-04-28,W,13.0,20.0,0.65,0.0,2.0,4.0,7.0,8.0,7.0,3.0,1.0,5.0,30.0,25.6,16.0
141,2013-05-06,L,8.0,17.0,0.47100000000000003,1.0,3.0,7.0,9.0,8.0,7.0,2.0,1.0,2.0,24.0,22.5,-15.0
142,2013-05-08,W,7.0,12.0,0.583,1.0,3.0,4.0,8.0,5.0,9.0,3.0,0.0,3.0,19.0,19.2,25.0
143,2013-05-10,W,6.0,17.0,0.353,2.0,4.0,11.0,11.0,8.0,7.0,2.0,0.0,1.0,25.0,23.8,7.0
144,2013-05-13,W,9.0,20.0,0.45,1.0,4.0,8.0,9.0,7.0,8.0,2.0,0.0,5.0,27.0,20.9,27.0
145,2013-05-15,W,5.0,14.0,0.35700000000000004,1.0,3.0,12.0,15.0,7.0,8.0,2.0,0.0,2.0,23.0,20.5,4.0
147,2013-05-22,W,12.0,24.0,0.5,2.0,6.0,4.0,7.0,10.0,10.0,0.0,3.0,4.0,30.0,24.1,3.0
148,2013-05-24,L,14.0,20.0,0.7,3.0,7.0,5.0,7.0,8.0,3.0,3.0,1.0,5.0,36.0,30.4,-7.0
149,2013-05-26,W,8.0,17.0,0.47100000000000003,0.0,1.0,6.0,6.0,4.0,3.0,0.0,0.0,0.0,22.0,16.6,22.0
150,2013-05-28,L,8.0,18.0,0.444,4.0,7.0,4.0,6.0,6.0,5.0,1.0,3.0,2.0,24.0,19.4,-3.0
151,2013-05-30,W,13.0,26.0,0.5,3.0,7.0,1.0,4.0,8.0,6.0,2.0,1.0,3.0,30.0,21.7,14.0
152,2013-06-01,L,10.0,21.0,0.47600000000000003,2.0,4.0,7.0,8.0,7.0,6.0,2.0,1.0,4.0,29.0,22.1,-22.0
153,2013-06-03,W,8.0,17.0,0.47100000000000003,1.0,2.0,15.0,16.0,8.0,4.0,2.0,1.0,2.0,32.0,29.2,21.0
155,2013-06-06,L,7.0,16.0,0.43799999999999994,1.0,5.0,3.0,4.0,18.0,10.0,0.0,0.0,2.0,18.0,20.4,-3.0
156,2013-06-09,W,7.0,17.0,0.41200000000000003,1.0,3.0,2.0,2.0,8.0,7.0,3.0,3.0,2.0,17.0,17.9,29.0
