,Unnamed: 0,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
745,745,2003-03-05,40.0,W,4.0,14.0,0.28600000000000003,0.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,1.0,10.0,3.9
746,746,2003-03-07,40.0,L,11.0,24.0,0.458,0.0,1.0,5.0,6.0,9.0,3.0,2.0,0.0,1.0,27.0,19.2
747,747,2003-03-09,40.0,L,13.0,22.0,0.591,0.0,0.0,13.0,15.0,8.0,1.0,1.0,0.0,3.0,39.0,28.3
748,748,2003-03-11,40.0,W,10.0,18.0,0.556,0.0,0.0,3.0,3.0,4.0,2.0,2.0,0.0,9.0,23.0,8.4
749,749,2003-03-14,40.0,L,6.0,18.0,0.333,0.0,0.0,3.0,4.0,5.0,4.0,2.0,1.0,0.0,15.0,11.0
750,750,2003-03-15,40.0,W,9.0,18.0,0.5,0.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,3.0,19.0,13.1
751,751,2003-03-18,40.0,L,10.0,25.0,0.4,0.0,1.0,3.0,4.0,11.0,3.0,0.0,0.0,2.0,23.0,12.1
752,752,2003-03-21,40.0,L,4.0,12.0,0.333,0.0,1.0,6.0,6.0,5.0,2.0,1.0,1.0,2.0,14.0,10.6
753,753,2003-03-23,40.0,L,11.0,23.0,0.478,1.0,1.0,1.0,1.0,5.0,4.0,2.0,0.0,3.0,24.0,14.8
754,754,2003-03-25,40.0,W,11.0,19.0,0.579,0.0,0.0,3.0,4.0,5.0,7.0,2.0,0.0,1.0,25.0,21.5
755,755,2003-03-26,40.0,W,12.0,22.0,0.545,0.0,0.0,2.0,3.0,10.0,4.0,2.0,1.0,4.0,26.0,18.7
756,756,2003-03-28,40.0,L,10.0,20.0,0.5,0.0,0.0,3.0,4.0,0.0,4.0,1.0,0.0,1.0,23.0,15.0
757,757,2003-03-30,40.0,L,9.0,23.0,0.391,0.0,1.0,1.0,2.0,5.0,2.0,1.0,0.0,5.0,19.0,5.0
758,758,2003-04-02,40.0,L,8.0,17.0,0.471,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,17.0,9.2
759,759,2003-04-03,40.0,L,10.0,23.0,0.435,0.0,1.0,2.0,2.0,14.0,7.0,2.0,0.0,0.0,22.0,20.6
760,760,2003-04-06,40.0,W,10.0,22.0,0.455,1.0,1.0,4.0,4.0,13.0,7.0,2.0,0.0,2.0,25.0,22.0
761,761,2003-04-08,40.0,W,10.0,19.0,0.526,1.0,1.0,5.0,5.0,10.0,3.0,3.0,1.0,1.0,26.0,25.7
762,762,2003-04-09,40.0,L,8.0,17.0,0.471,1.0,2.0,4.0,4.0,10.0,1.0,2.0,0.0,1.0,21.0,16.2
763,763,2003-04-11,40.0,W,11.0,26.0,0.423,0.0,1.0,3.0,3.0,2.0,4.0,2.0,0.0,1.0,25.0,15.2
764,764,2003-04-12,40.0,L,8.0,16.0,0.5,0.0,0.0,1.0,2.0,8.0,6.0,1.0,1.0,2.0,17.0,14.5
765,765,2003-04-14,40.0,L,9.0,22.0,0.409,0.0,3.0,3.0,3.0,8.0,1.0,1.0,0.0,2.0,21.0,11.3
766,766,2003-04-16,40.0,L,6.0,15.0,0.4,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,2.0,15.0,8.5
767,767,2001-10-30,38.0,L,7.0,21.0,0.333,0.0,3.0,5.0,6.0,5.0,6.0,4.0,0.0,3.0,19.0,13.4
768,768,2001-11-01,38.0,W,13.0,30.0,0.433,0.0,3.0,5.0,6.0,6.0,6.0,2.0,0.0,1.0,31.0,21.0
769,769,2001-11-03,38.0,W,7.0,21.0,0.333,0.0,0.0,6.0,9.0,6.0,9.0,2.0,1.0,2.0,20.0,16.1
770,770,2001-11-04,38.0,L,8.0,18.0,0.444,0.0,0.0,3.0,3.0,8.0,2.0,1.0,0.0,1.0,19.0,13.0
771,771,2001-11-07,38.0,L,12.0,26.0,0.462,0.0,1.0,8.0,10.0,8.0,2.0,2.0,0.0,5.0,32.0,18.6
772,772,2001-11-09,38.0,L,13.0,30.0,0.433,0.0,1.0,6.0,8.0,3.0,3.0,3.0,0.0,3.0,32.0,17.2
773,773,2001-11-11,38.0,L,5.0,26.0,0.192,0.0,1.0,6.0,6.0,12.0,4.0,1.0,2.0,1.0,16.0,7.2
774,774,2001-11-14,38.0,L,12.0,24.0,0.5,0.0,1.0,7.0,8.0,4.0,3.0,2.0,1.0,3.0,31.0,20.8
775,775,2001-11-16,38.0,L,17.0,33.0,0.515,1.0,2.0,9.0,11.0,7.0,3.0,1.0,0.0,0.0,44.0,33.3
776,776,2001-11-20,38.0,L,13.0,23.0,0.565,1.0,2.0,3.0,4.0,4.0,6.0,2.0,0.0,5.0,30.0,19.5
777,777,2001-11-22,38.0,L,8.0,26.0,0.308,0.0,1.0,5.0,5.0,5.0,6.0,2.0,1.0,3.0,21.0,11.0
778,778,2001-11-24,38.0,W,7.0,24.0,0.292,0.0,1.0,3.0,3.0,11.0,6.0,1.0,0.0,2.0,17.0,8.7
779,779,2001-11-27,38.0,L,9.0,24.0,0.375,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,18.0,10.1
780,780,2001-11-28,38.0,W,11.0,27.0,0.407,0.0,1.0,8.0,10.0,6.0,7.0,5.0,1.0,1.0,30.0,25.3
781,781,2001-11-30,38.0,W,10.0,20.0,0.5,0.0,1.0,2.0,3.0,7.0,5.0,0.0,0.0,2.0,22.0,14.8
782,782,2001-12-01,38.0,L,6.0,19.0,0.316,0.0,0.0,3.0,3.0,7.0,7.0,0.0,2.0,2.0,15.0,8.9
783,783,2001-12-06,38.0,W,9.0,23.0,0.391,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,4.0,18.0,7.4
784,784,2001-12-08,38.0,W,7.0,21.0,0.333,0.0,1.0,7.0,9.0,12.0,4.0,4.0,0.0,1.0,21.0,17.3
785,785,2001-12-11,38.0,W,8.0,19.0,0.421,0.0,1.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,16.0,13.2
786,786,2001-12-12,38.0,W,9.0,23.0,0.391,0.0,1.0,7.0,11.0,6.0,7.0,1.0,1.0,1.0,25.0,18.3
787,787,2001-12-14,38.0,W,8.0,19.0,0.421,0.0,1.0,3.0,3.0,6.0,6.0,1.0,2.0,5.0,19.0,10.7
788,788,2001-12-16,38.0,W,8.0,21.0,0.381,0.0,0.0,5.0,6.0,4.0,3.0,3.0,0.0,4.0,21.0,11.0
789,789,2001-12-19,38.0,W,11.0,19.0,0.579,0.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,2.0,23.0,18.8
790,790,2001-12-21,38.0,W,3.0,16.0,0.188,0.0,0.0,6.0,6.0,6.0,8.0,1.0,0.0,3.0,12.0,8.2
