,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
124,1993-06-02,W,11.0,24.0,0.45799999999999996,0.0,1.0,7.0,9.0,10.0,14.0,2.0,1.0,5.0,29.0,26.3
125,1993-06-04,W,8.0,24.0,0.33299999999999996,1.0,4.0,8.0,9.0,2.0,9.0,3.0,2.0,1.0,25.0,19.7
127,1993-06-09,W,14.0,28.0,0.5,0.0,1.0,3.0,4.0,7.0,5.0,5.0,1.0,2.0,31.0,25.9
128,1993-06-11,W,18.0,36.0,0.5,2.0,2.0,4.0,5.0,12.0,9.0,2.0,0.0,5.0,42.0,31.7
129,1993-06-13,L,19.0,43.0,0.442,3.0,9.0,3.0,6.0,9.0,6.0,2.0,1.0,3.0,44.0,26.1
130,1993-06-16,W,21.0,37.0,0.568,0.0,1.0,13.0,18.0,8.0,4.0,0.0,0.0,1.0,55.0,38.9
131,1993-06-18,L,16.0,29.0,0.552,2.0,7.0,7.0,10.0,7.0,7.0,0.0,2.0,2.0,41.0,30.7
132,1993-06-20,W,13.0,26.0,0.5,3.0,5.0,4.0,6.0,8.0,7.0,1.0,0.0,3.0,33.0,24.5
134,1995-04-28,W,18.0,32.0,0.563,1.0,4.0,11.0,11.0,9.0,8.0,1.0,1.0,3.0,48.0,39.8
135,1995-04-30,L,13.0,25.0,0.52,3.0,6.0,3.0,6.0,7.0,7.0,0.0,0.0,5.0,32.0,19.7
136,1995-05-02,W,9.0,19.0,0.474,1.0,2.0,6.0,7.0,6.0,3.0,4.0,2.0,6.0,25.0,17.8
137,1995-05-04,W,8.0,21.0,0.381,3.0,5.0,5.0,6.0,4.0,5.0,3.0,0.0,3.0,24.0,15.6
139,1995-05-07,L,8.0,22.0,0.364,0.0,2.0,3.0,5.0,5.0,3.0,1.0,0.0,8.0,19.0,2.6
